	RPA2	RAD54L	GEN1	FANCL	FANCD2	TREX1	TREX1	ATR	RAD1	RAD17	RAD50	MDC1	FANCE	RPA3	POLD2	HUS1	SHFM1	XRCC2	TEX15	NBN	RAD54B	FANCG	FANCC	PTEN	FANCF	MUS81	RAD9A	POLD4	POLD3	C11orf30	MRE11A	ATM	H2AFX	CHEK1	RAD52	MDM2	UBE2N	BRCA2	FANCM	XRCC3	RAD51	TP53BP1	FANCI	BLM	EME2	ERCC4	PALB2	FANCA	RPA1	BRCA1	EME1	RAD51C	RBBP8	PMAIP1	BCL2	C19orf40	BBC3	LIG1	POLD1	PCNA	BCL2L1	RTEL1	CHEK2	DMC1
TCGA-DX-A6YV	2.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	3.0	0.0	1.0	3.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-DX-A6YX	2.0	2.0	0.0	0.0	3.0	1.0	1.0	2.0	1.0	1.0	1.0	0.0	0.0	2.0	2.0	2.0	2.0	2.0	1.0	8.0	1.0	0.0	0.0	0.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	0.0	0.0	0.0	2.0	2.0	2.0	0.0	0.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0
TCGA-DX-AB2S	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-DX-A6YR	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	3.0	1.0	2.0	2.0	0.0	1.0	1.0	3.0	1.0	1.0	1.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	2.0	1.0	1.0	1.0	2.0	0.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	0.0	0.0	0.0	2.0	2.0	2.0	1.0	4.0	3.0	1.0	2.0	2.0
TCGA-DX-A8BG	2.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0	2.0	0.0	1.0	2.0	2.0	3.0	4.0	4.0	1.0	2.0	2.0	0.0	0.0	2.0	3.0	1.0	2.0	2.0	2.0	2.0	3.0	3.0	2.0	0.0	0.0	0.0	2.0	3.0	0.0	1.0	6.0	2.0	4.0	3.0	1.0	0.0	2.0	3.0	2.0	5.0	1.0	1.0	3.0	3.0	6.0	5.0	4.0	5.0	4.0	4.0	4.0	0.0	4.0	1.0	1.0	1.0
TCGA-DX-A6YQ	2.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	2.0	0.0	1.0	2.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	2.0	2.0	2.0	1.0	2.0	3.0	0.0	1.0
TCGA-DX-AB32	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0
TCGA-X6-A8C3	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	5.0	5.0	5.0	1.0	0.0	1.0	2.0	2.0	0.0	2.0	1.0	4.0	3.0	3.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	2.0	2.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	2.0	1.0	6.0	3.0	3.0	3.0	3.0	4.0	1.0	2.0	2.0
TCGA-DX-A6YT	0.0	0.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	0.0	0.0	2.0	2.0	2.0	0.0	0.0	2.0	5.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	2.0	2.0	0.0	3.0	4.0	3.0	3.0	3.0	3.0	2.0	0.0	0.0	0.0	4.0	2.0	2.0	2.0	0.0	0.0	0.0	3.0	3.0	3.0	3.0	0.0	2.0	2.0	2.0	2.0
TCGA-DX-A6YS	2.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	3.0	3.0	2.0	0.0	3.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	2.0	3.0	3.0	2.0	2.0	2.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	4.0	1.0	1.0	1.0	0.0	2.0	1.0	2.0	2.0
TCGA-DX-A6YZ	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	1.0	2.0	0.0	0.0	0.0	2.0	2.0	5.0	0.0	0.0	2.0	2.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	38.0	2.0	0.0	0.0	1.0	0.0	0.0	2.0	2.0	1.0	2.0	2.0	1.0	0.0	2.0	4.0	4.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	0.0	2.0	4.0	1.0	2.0
TCGA-DX-AB2T	4.0	3.0	0.0	0.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	2.0	2.0	4.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	2.0	0.0	0.0	0.0
TCGA-DX-AB30	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	5.0	2.0	2.0	3.0	1.0	8.0	8.0	8.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0	2.0	2.0
TCGA-K1-A6RU	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	0.0	2.0	2.0	2.0	1.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	1.0	4.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	3.0	3.0	2.0	2.0	2.0	2.0	1.0	3.0	3.0	2.0	3.0	2.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	3.0	3.0	3.0	2.0
TCGA-DX-A8BV	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	9.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	2.0	0.0	0.0	1.0	1.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	3.0	1.0	1.0	0.0	0.0	2.0	1.0	0.0	1.0	3.0	2.0	3.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	2.0	1.0	4.0	2.0
TCGA-X6-A7W8	1.0	1.0	0.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	4.0	0.0	0.0	0.0	2.0	2.0	3.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	3.0	3.0	1.0	0.0	0.0	1.0	1.0	2.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	2.0	1.0	2.0	0.0	0.0
TCGA-MJ-A68J	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-DX-AB2V	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	4.0	3.0	1.0	1.0	4.0	4.0	4.0	6.0	4.0	2.0	0.0	0.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	3.0	3.0	3.0	0.0	6.0	5.0	1.0	1.0	2.0	2.0	0.0	0.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	2.0	1.0	3.0	2.0
TCGA-LI-A67I	2.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
TCGA-X6-A8C6	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	0.0	5.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	8.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	0.0	2.0	2.0	2.0	0.0	2.0	3.0	1.0	1.0
TCGA-DX-A6YU	2.0	2.0	0.0	0.0	1.0	0.0	0.0	1.0	4.0	2.0	4.0	2.0	2.0	3.0	3.0	3.0	0.0	0.0	2.0	2.0	2.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	4.0	4.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0	3.0	1.0	2.0	2.0	0.0	0.0
TCGA-DX-A6Z0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	4.0	1.0	1.0	0.0	0.0	3.0	3.0	3.0	3.0	4.0	1.0	1.0	1.0	1.0	2.0	0.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	0.0	1.0	2.0	2.0	0.0	2.0	4.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	0.0	0.0	0.0	6.0	4.0	4.0	4.0	1.0	2.0	2.0	2.0	2.0
TCGA-DX-AB2E	2.0	2.0	1.0	1.0	3.0	2.0	2.0	2.0	2.0	0.0	0.0	1.0	1.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	2.0	4.0	0.0	0.0	1.0	3.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	1.0	1.0	1.0	3.0	3.0	2.0	1.0	1.0
