1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
TCGA-LI-A67I-01A-31D-A306-01	9.0504	13.0945	0.458	7.743	3.7204	20.6817	0	0	8.3463	10.443	0.4722	0	1.9897	0	0.6471	0.353	4.0571	4.025	1.7807	1.5587	2.0154	0.3666
TCGA-DX-AB2F-10A-01D-A389-01	0	0	0	0	0	0	0	2.6441	0	0	0	0	0.8819	0	0	0	0	0	0	0	0	0
TCGA-FX-A3NK-10A-01D-A21P-01	0	0	4.111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9176
TCGA-3B-A9HO-01A-11D-A386-01	95.1847	0	0	0	126.8012	0	0	95.6633	0	0	0	1431.0368	0	0	6.5273	0	0	0	26.2579	11.6196	139.4474	43.9132
TCGA-3B-A9HU-01A-11D-A38Y-01	0	0.7903	0	0	0	0	0	0	0	0	0	0	1.228	0	0	0	3.834	0	1.5749	0	0	0
TCGA-QQ-A5VA-11A-11D-A32H-01	0	0	0	3.0627	1.0138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8235	0	0
TCGA-PC-A5DN-01A-12D-A27O-01	2.7272	0	0	0	0	328.4086	1.3399	0	0	0	4.4023	1101.8623	0	0	0	0	2.3238	0	0	0	2.2969	0
TCGA-DX-A7EF-10A-01D-A33G-01	0.9577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-MJ-A68H-01A-11D-A306-01	4.8709	6.4867	11.3746	18.3098	8.0473	0	0	2.8828	0	0	0.3913	0	2.8582	9.9085	0.9345	14.0322	0	3.5083	12.8214	0	1.6503	6.029
TCGA-QQ-A5VC-10A-01D-A32H-01	0	0	5.3528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-N1-A6IA-11A-11D-A32H-01	0	0	0	0	0	0	0	0	0	0.8042	0	0	0	0	2.4346	0	0	0	2.9674	0	0	0
TCGA-DX-A6YS-01A-12D-A350-01	28.1743	5.2829	2.3946	109.7412	77.9599	100.4653	151.0749	51.3871	3.1038	3.2606	25.1335	28.3098	0	4.76	21.952	1.6017	3.2917	8.9542	13.5398	9.3132	6.7685	1.0288
TCGA-WK-A8XZ-10A-01D-A37E-01	0	0	0	3.697	0	0	3.334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-MJ-A68J-01A-11D-A306-01	0	0	0	0	0	0	1.2537	1.9626	0	0	0	0	0	0	0	0	0	0.8759	0	0	0	0
TCGA-DX-A3U7-01A-11D-A29M-01	7.4176	30.6914	6.5841	6.6824	3.7391	0.5235	0	2.1116	3.6514	16.3516	2.08	4.1443	0	16.8204	6.6351	0	0.3792	60.7055	23.8135	6.5999	18.4532	4.6298
TCGA-DX-A7ES-10A-01D-A38Y-01	0	0	0	0	0	4.0953	0	0.785	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-DX-A48O-10A-01D-A306-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-Z4-AAPF-10A-01D-A38Y-01	4.6052	3.149	0	0	0	0	0	1.5591	0	0	0.9684	0	2.6518	0	0.8477	0	0	0	0	0	0	0
TCGA-QQ-A5VC-01A-31D-A32H-01	20.0986	12.6711	1.4094	15.4017	18.5295	82.1064	14.131	45.7846	30.4997	0.4093	40.8205	16.0831	0.6317	18.4364	12.3669	0.66	6.6175	4.7897	3.8078	2.5567	23.155	0
TCGA-3B-A9HZ-01A-11D-A38Y-01	1.0285	0	1.1262	0	0	6.0268	0	0	0	0.8097	0	0	0	0	7.1179	0	2.4244	0	0	0	0	0
TCGA-K1-A3PO-01A-11D-A21P-01	0	0	0	0	0	0	0	0	0	0	0	0	0.7806	0	0	0	0	0	0	0	0	0
TCGA-DX-A6B9-01A-12D-A32H-01	0	0	0	0	0	0	0	0	0	0	2.6258	0	1.8364	0	0	0	0	7.5296	11.9914	0	0	0
TCGA-FX-A3NK-01A-11D-A21P-01	3.7243	0	1.8025	6.2137	0	403.5143	0	18.497	0.5256	0	9.9898	746.6339	28.2606	0	18.7739	0	0	0	83.4697	2.5549	0	3.1067
TCGA-HB-A3YV-10A-01D-A24M-01	0	0	0.9223	0	0	0	0	0	0	0	0	0	0	0	1.574	0	0	0	0	0	0	0
TCGA-DX-AB32-01A-11D-A416-01	3.3203	2.4205	129.5924	11.1183	7.09	13.4856	5.7918	2.2222	2.5425	2.7478	1.8978	7.7867	1.6624	0	0	4.5806	0.5158	5.9965	9.5717	1.0967	0	2.3772
TCGA-K1-A3PN-02A-11D-A227-01	8.8573	0	0	0	0	0	0	1.0472	1.0464	0.2963	1.9622	0	0	0	5.891	5.4087	28.9841	0	1.7715	0	0	0
TCGA-DX-A7EI-01A-11D-A33D-01	214.441	14.2414	0	16.9583	77.366	46.7102	13.4478	12.5848	8.673	0	7.4355	817.0828	0	19.548	29.9745	7.7486	0	0	68.6783	40.5441	2.7849	1.6164
TCGA-WP-A9GB-10A-01D-A37E-01	0	0	0	6.1657	0	0	2.8112	3.4065	0	0	4.6608	0	0	0	0	10.7692	0	0	0	0	0	0
TCGA-SG-A6Z7-01A-12D-A32H-01	127.6849	26.0238	1.0769	1.1597	8.0161	65.3749	51.0779	100.6905	1.0681	6.1583	9.2157	602.3411	0	0.8764	0	0	5.8811	0	3.9923	2.3702	31.6286	0.4492
TCGA-X6-A7WD-10A-01D-A350-01	0	2.4021	0	4.3588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-VT-A80G-11A-22D-A36L-01	0	0	0	0	0	2.6852	0	0	0	0	0	0	0	3.4419	0	0	0	0	0	0	0	0
TCGA-IE-A3OV-01A-11D-A227-01	8.0699	10.9285	5.7164	0.5626	2.7399	4.4683	0	8.2525	4.0718	0	0	1.73	1.8886	3.9213	0	7.1065	6.5723	3.4213	8.0869	2.6525	0.912	2.9181
TCGA-DX-A240-01A-32D-A27O-01	256.108	3.955	3.5516	0	0	44.0026	72.6131	0	0	0	0	605.8508	0	5.1933	0	0	0	0	0	0	0	0
TCGA-DX-A3LW-01A-21D-A21P-01	42.389	0	1.2506	297.0569	3.3625	0.4592	1.2927	0	4.2014	0	0	473.7663	0.306	1.4359	0	0	0	1.819	4.1413	3.692	0.254	0
TCGA-QQ-A8VG-10A-01D-A37E-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8355	0	0
TCGA-DX-A23V-01A-11D-A29M-01	167.9975	7.1097	0	0	0	0	9.8937	0	3.6627	4.9601	0.291	439.2396	27.1507	0	0	0.6408	0	0	0	0	0	0
TCGA-DX-A6YQ-10A-01D-A33G-01	0	0	0	0	0	0	0	0	0	0	3.7577	0	0	0	0	0	0	0	0	0	0	5.0577
TCGA-K1-A42X-11A-11D-A24M-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-DX-A3M2-01A-21D-A227-01	11.6792	0.8042	0	1.4212	93.923	8.6398	32.2908	7.6994	3.6086	0.4861	1.9291	3.0841	0.4274	0	0	1.4182	13.0295	2.763	2.5692	0.684	3.0137	0
TCGA-DX-AB30-10A-01D-A38Y-01	0	0	0	0	0	0	0	0	2.0513	0	0	0	0	1.1828	0	0	3.222	0	0	0	0	0
TCGA-PC-A5DK-10A-01D-A27O-01	0	0	0	0	0	0	0	0	0	0.9953	0	0	0	0	0	0	0	0	0	3.2441	0	0
TCGA-DX-A48U-01A-11D-A306-01	2.0701	0.2614	3.7479	0.2799	0.7702	0.522	0.2647	1.1886	1.5374	0	3.3752	0.5154	0.2894	0	0.2659	0.5198	1.1922	0	0.2713	0.8791	0.2636	0.2662
TCGA-QQ-A8VH-01A-11D-A37B-01	5.3073	6.8925	0.5536	14.8108	5.505	0.5237	10.8568	69.6772	0.7821	10.7522	11.4729	4.3083	6.1425	41.6152	3.7612	0	6.2487	0	45.078	20.2926	59.7948	9.6773
TCGA-DX-A23Z-01A-11D-A27O-01	9.7021	118.1186	0	4.2113	59.7724	289.8504	24.3466	34.365	67.8808	182.559	339.8786	461.5487	29.6706	0	6.8595	0	0	1.3732	5.2355	0	0	0
TCGA-DX-A23T-01A-11D-A26F-01	9.2596	7.4312	0	0	81.4955	197.8917	38.2266	227.7477	1.0281	8.3219	265.7549	219.0356	15.1063	4.3367	0	1.4762	0	0	0	1.1396	19.238	0
TCGA-DX-A8BP-01A-11D-A37B-01	4.6012	11.5325	6.5929	0	35.4867	0	7.9765	2.1288	4.879	0	0.3291	0	2.45	0	0	0	0	0	1.9721	5.0407	0	0
TCGA-FX-A76Y-01A-11D-A350-01	2.2808	0	0	0	0	0	0	0	0	1.3132	0.9166	0	1.9035	0	0	0.2968	0	0	0.3184	0	0	0
TCGA-DX-AB2W-01A-11D-A38Y-01	19.2264	20.6161	22.8727	16.1148	16.8521	0.9507	9.0903	18.1049	9.5498	5.1314	15.9849	73.1015	0	3.2865	46.0975	0.8571	0.2855	5.2394	2.8877	31.3922	81.3132	3.21
TCGA-IE-A4EI-10A-01D-A24M-01	0	0	0	0	2.9362	0	0	0	0	0	0	0	0	0	0.9647	3.0824	0	0	0	0	0	0
TCGA-X6-A7WB-01A-11D-A350-01	23.8669	24.9742	6.185	3.0804	6.6511	5.8749	7.7353	3.9789	3.9121	1.3864	5.5979	4.3626	1.7668	0	0.4212	2.8332	6.2086	0	1.0195	13.3788	1.8459	4.2293
TCGA-DX-AB3C-01A-11D-A416-01	1.0791	0	0	0	6.048	0	0	0	0	0	0	1.0462	0	0	0	0.9903	0	0	0	0.3705	0	0
TCGA-SI-A71P-01A-12D-A33D-01	0	0	0.7902	0	4.3326	3.9286	0.5039	0	0.5187	0	0	0	0	1.8568	0	6.8622	0.2733	0	0.7962	0	0	0
TCGA-3B-A9I3-01A-11D-A38Y-01	3.9496	0.3346	1.213	3.7398	0	0	0	0	0	0	0.997	0	3.1548	0	0.3393	0	1.3229	0	0	0.2592	0	0.4434
TCGA-K1-A3PO-11A-12D-A21P-01	4.4384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-X6-A7WA-01A-12D-A350-01	0.884	0	0	0.811	0	0	0	0	0	0.5733	0.7266	0	0	0	0	0	3.1845	0	0	0	0	3.0974
TCGA-DX-A23R-10A-01D-A26F-01	0	0	0	6.4433	0	0	0	0	0	0	0	7.2548	0	0	0	0	0	10.2202	0	0	0	5.9464
TCGA-K1-A42X-01A-11D-A24M-01	10.4988	1.8301	0.8388	0	0	1.178	6.6583	0.8264	0	0.5369	14.2626	1.3811	1.5254	1.7584	0	0.2655	4.7853	0	9.9091	2.2597	0.2651	1.1933
TCGA-FX-A48G-10A-01D-A24M-01	0.7093	0	0	3.5151	0	2.8642	0	0	0	0	0	0.6729	0	0.6863	0	0	0	0	0	0	0	0
TCGA-DX-A48V-10A-01D-A306-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9614	0	0	0	0	17.0326	0	0
TCGA-X9-A973-01A-11D-A386-01	0	0	0	0	0	4.1868	12.2597	0	0	0	0	4.8249	5.3354	0	0	0	0	1.6324	3.26	0	0	0
TCGA-JV-A5VE-01A-11D-A29M-01	12.9738	6.8568	1.4482	32.3584	5.2634	0	2.7273	18.5113	4.112	1.3843	4.6646	14.7379	9.1003	1.6742	0	0.8251	4.2007	13.972	0.2611	2.6758	0	0.4091
TCGA-DX-A3U9-10A-01D-A306-01	0	4.3791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-IF-A4AK-11A-11D-A24M-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8689	0	2.0931	0	0
TCGA-WK-A8XS-10E-01D-A37E-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-QQ-A5VD-10A-01D-A32H-01	0	0.9794	0	1.0283	0	4.4594	3.5443	0	0	0	0	3.0016	0	0	0	0	0	0	0	0	0	0
TCGA-DX-A3M1-01A-11D-A227-01	0.8341	14.5043	17.9976	2.5719	29.7446	33.4882	22.7946	269.2642	155.5158	5.4187	28.276	1386.5427	0	12.7759	0.5322	6.6604	120.2324	20.0873	0	6.123	0	6.9794
TCGA-DX-A6B7-01A-11D-A306-01	0.5237	0	0	4.1522	3.1996	0	0	2.4082	1.594	0	0	0.2512	2.7886	0.4811	0	0.5036	0.7806	0	2.7969	5.5451	0	0.2659
TCGA-IE-A6BZ-10A-01D-A306-01	1.0496	0	0	1.1231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9899	0	0
TCGA-X2-A95T-01A-11D-A37B-01	4.2499	16.831	1.809	1.0928	10.4014	1.4087	4.4283	0	0.8705	0	0	0.3243	9.5412	12.9811	0	7.5353	8.8026	0.2906	7.5455	4.7575	0.5447	0
TCGA-X6-A8C3-01A-11D-A36I-01	0.7317	5.1292	4.5478	2.1645	2.377	0.945	19.2026	13.5841	6.9901	0.3025	26.3667	14.1228	1.17	1.3518	3.4725	0.6999	3.5863	8.3866	7.0018	7.9642	0	2.9456
TCGA-3B-A9HJ-10A-01D-A389-01	203.3508	156.7259	78.7724	128.9456	124.9088	170.3335	113.6961	85.427	110.4012	111.0672	113.0506	97.6289	87.3306	64.9736	79.2338	51.7925	38.9778	61.8208	37.8799	50.0259	25.8186	15.5386
TCGA-DX-A8BO-10B-01D-A419-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-DX-A8BN-01A-11D-A37B-01	0	0.5382	4.9194	0	42.5196	50.2141	4.1017	5.8661	0	0	0.5603	0.8475	10.7164	0	6.5411	21.1039	3.7941	0	40.1054	0	0	0
TCGA-HB-A2OT-10A-01D-A21P-01	0	0	0	0	0	0	1.0308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-DX-AB2O-10A-01D-A38Y-01	0	0	0	0	0	0	0	0	0	0	0	0	0	1.727	0	0	0	0	2.7021	0	0	0
TCGA-KF-A41W-11A-11D-A24M-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-WP-A9GB-01A-11D-A37B-01	12.9964	0	16.2236	19.9569	11.5949	28.0274	20.853	26.7674	15.7614	5.7819	12.0486	5.0501	18.3647	0.5458	7.5955	3.9573	12.8458	11.0041	3.4104	0	7.6986	1.811
TCGA-DX-A6YQ-01A-12D-A33D-01	20.2981	11.5465	9.2286	15.8018	6.5887	25.8266	7.2044	0.6212	4.842	0	5.0179	11.0023	0	0.9102	0	2.5923	32.4254	0	19.967	29.2649	0.395	6.7256
TCGA-QC-A7B5-01A-11D-A33D-01	10.5452	0	0	0	0	0	6.0625	0	0	0	0	0	0	0	0	2.2307	2.6056	0	3.4039	3.9139	0	0
TCGA-DX-AB3B-01A-11D-A416-01	0	0	0	0.6244	0	0.5895	0	0	0	2.9441	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-HB-A5W3-10A-01D-A29M-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7662	0	0	0	0	0
TCGA-DX-A6YZ-10B-01D-A350-01	0	0	0	0	0	0	0	0	0	0	0	0	0.9528	0	0	0	0	0	0	0	0	0
TCGA-QQ-A5VA-01A-12D-A32H-01	1.0475	0	9.8775	18.4418	22.6432	1.8435	96.3429	61.6848	6.2536	1.2923	39.8338	2.0837	0.8426	10.5087	26.5279	0	3.9271	3.4315	0	0.4252	0	0.7982
TCGA-WK-A8XQ-10A-01D-A37E-01	0	0	0	0	0	0	0	3.1807	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-IE-A4EH-10A-01D-A24M-01	0	0	0	0	0	0	5.934	1.6048	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-DX-AB3A-10A-01D-A419-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-SG-A6Z4-01A-22D-A33D-01	9.9547	0.9184	19.8325	9.2604	0	4.1979	4.074	5.7526	3.9033	4.0848	4.2605	0	10.1175	3.029	4.1393	0.7322	5.2071	0	3.1863	4.4257	0	1.1316
TCGA-K1-A3PN-01A-11D-A227-01	0	0	0	0	0.9031	0	0	0	0.3185	0	0	2.3802	0	0	0.6052	2.3968	37.599	0	0.2738	0	0	0
TCGA-K1-A42X-02A-11D-A24M-01	1.6483	3.7987	0.2579	0	0.4083	3.5031	3.3398	0.2691	3.3998	0.2785	11.3276	0	0.9422	1.0921	0	0	3.7956	1.5137	1.1201	0.9559	0	0.7745
TCGA-3B-A9HQ-01A-11D-A386-01	3.2175	0	0	0	0.8767	3.4042	0	0	0	0	0	0	0	0	3.3618	0	9.3891	0	0	0	0	0
TCGA-X6-A8C3-10A-01D-A36L-01	0	0	0	0	0	0	0	0	0	0	0	0	8.3262	0	0	0	0.8227	0	0	0	0	0
TCGA-DX-A1L1-01A-11D-A24M-01	0.3517	6.2265	0	10.9094	31.8681	0	6.8304	0	10.4227	0.4777	64.4956	34.0638	0	2.4492	0	0	0.2907	0.3689	4.5334	9.9555	1.9931	0.5259
TCGA-HB-A43Z-01A-11D-A24M-01	20.069	5.9466	13.4752	4.3513	5.4027	4.8422	13.7846	8.6407	0.2773	3.5667	4.3613	12.3484	27.4097	3.8099	14.5739	1.5203	12.287	68.2259	0.7574	2.1358	24.5629	2.8536
TCGA-DX-A6BA-01A-11D-A306-01	1.9149	14.3072	5.3225	1.8932	10.0493	1.5764	1.6822	8.1615	2.7206	0	0.4163	1.2651	0	0.4432	9.5044	4.7525	4.5708	0.9424	5.0469	1.7043	1.246	0
TCGA-3B-A9HS-01A-11D-A38Y-01	20.4357	2.1576	1.7825	48.5369	137.5278	178.1722	0.9976	4.9841	4.5778	0	0	834.9836	0	29.8357	0	0.9388	13.0744	1.1486	99.4344	3.7369	9.6153	0.7508
TCGA-DX-AB2Q-01A-11D-A38Y-01	2.4879	8.3464	3.5686	18.8733	8.8821	5.4941	39.2051	124.0651	5.0963	22.9214	129.6238	8.6295	0	6.6969	10.0317	2.111	24.6623	2.1577	1.7292	27.8605	5.2608	12.4442
TCGA-DX-A23Z-10A-01D-A27O-01	0	0	0	0	0	0	0	0	0	0	0	3.4163	0	0	0	0	0	0	0	5.2715	0	0.933
TCGA-DX-A6Z0-01A-13D-A36I-01	1.7966	0.4858	0.6932	1.3923	38.5741	43.8423	19.4714	0	0.8701	3.7441	6.0051	0	0	11.4581	1.5236	2.9871	0.2825	4.2536	15.0332	1.3635	0	0
TCGA-DX-AB2Z-01A-11D-A386-01	10.6355	1.4481	19.6091	9.8422	8.8916	0	0.849	3.4024	6.1148	6.3236	0.496	1.8312	1.0041	21.1562	1.7855	0	1.6614	22.2277	0	4.9242	3.6311	0.7677
TCGA-DX-A23U-10A-01D-A26F-01	0	0	0	0	0	0	5.0915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-IE-A4EK-01A-11D-A24M-01	0	0	0	3.3536	0	1.0067	0	0	0	0	0.8038	0	0	0	0	0	0	0	2.019	0	0	2.1095
TCGA-SI-A71P-10A-01D-A33G-01	0.7681	0	0.7829	0	0	0	0.7957	4.0506	0	0	0	0	0.8233	0	0.3401	5.3783	8.7364	2.3675	0	0	0	0.3849
TCGA-QQ-A5VD-01A-21D-A32H-01	0	0	0	1.0607	0.3913	0	0	0	0	0	0	0	0	0	0.5303	0	0.5885	0	0	0.3027	0	0
TCGA-DX-AB32-10A-01D-A419-01	0	0	0	0	2.7236	0	0	0	1.0443	1.1323	0	0	0	0	0	0	0	0	0	0	4.5854	0
TCGA-DX-A23R-01A-11D-A26F-01	3.4245	14.1473	7.3892	4.1279	16.0481	1.9547	16.6359	11.4164	7.281	0	13.2971	1696.5669	15.2793	0	6.2738	85.1163	0	0	12.713	1.9557	0	16.6357
TCGA-3B-A9HJ-01A-11D-A386-01	0	0	0	0	0	5.4646	0	0	0	0	0	156.43	1.4742	0	0	0	0	0	4.6369	5.2983	0	0
TCGA-DX-AB2H-10A-01D-A38Y-01	0	0	0	0	0	0	0	0	0.915	0	0	0	0	2.7926	0.9061	0	0	1.893	0	0	0	0
TCGA-Z4-AAPG-01A-11D-A38Y-01	7.224	9.7737	1.7874	24.0949	17.0263	0	15.4901	11.4245	13.4976	3.4788	1.0784	7.7177	4.9127	9.121	14.275	7.9038	5.5436	2.8153	9.656	6.3548	0.7059	1.6822
TCGA-FX-A8OO-10A-01D-A36L-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8612	0	0	3.9332	1.1383	0	0	0
TCGA-WK-A8XO-10A-01D-A37E-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8693	0	5.1246	0	0	0	0	0	0
TCGA-DX-A3UD-10A-01D-A306-01	11.12	0	0	0	0	0	0	0	0	0	0	0	0	0.911	0	0	0	0	0	0	0	0
TCGA-DX-A48O-01A-11D-A306-01	19.9013	5.0631	1.8301	2.8	2.5297	4.3259	4.6802	4.0093	2.7601	1.2795	1.6611	2.554	1.2011	0	0.3463	1.5508	9.5552	3.4184	6.8279	1.4019	1.2799	2.1852
TCGA-DX-A8BG-01A-12D-A416-01	43.4111	25.6416	1.4547	3.9532	0.9704	5.1631	7.7983	1.3133	5.6701	0	4.2689	1.3624	4.0341	20.6311	22.4966	7.9275	11.531	26.004	7.6208	2.4889	1.1635	0
TCGA-DX-A6BE-01A-41D-A32H-01	70.501	0	0	0	62.799	0	0	47.1844	214.4424	3.8341	0	573.8179	0	33.1355	0	9.0047	11.7482	5.3966	7.008	0	0	0
TCGA-K1-A6RT-01A-32D-A33D-01	0	0	0	0	0	8.2892	0.7453	0	0.6155	0	0	0	0	0	0	0	0	0.2678	0	0	0	0
TCGA-DX-A8BV-01A-11D-A37B-01	19.7428	1.1755	2.795	0.2728	25.1811	2.2041	0.6621	2.5135	13.4493	0	12.2152	3.7792	5.682	5.4129	0	0.2648	7.7781	3.0618	0.7491	5.1335	10.7996	3.2049
TCGA-DX-A3UF-10A-01D-A306-01	0	0	0	0	0	0.9339	0	1.1355	0	0	0	1.749	0	0	0	0	0	0	0	0	0	0
TCGA-DX-A6Z2-01A-12D-A40C-01	1.0746	0	0	7.3531	0	0	0	16.9362	0	0.8067	0	0	0	0	0	0	0	0	0.2604	0	0	0
TCGA-DX-AB2J-10A-01D-A389-01	0	0	5.5506	0	0	0	0	0	4.0004	0	5.5058	0	0	0	0	0	0	6.3022	0	0	7.3762	0
TCGA-DX-AB2W-10A-01D-A38Y-01	0	0	0.9504	11.5358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-DX-A8BJ-10B-01D-A419-01	0	0	0	0	0.8216	1.966	0	0.9003	0	0	0	0	0	0	0	0	0	0	0	0	0.9029	0
TCGA-DX-A48R-10A-01D-A306-01	5.2451	0	0	0	0	0	0.9637	0	0	0	0	0	0	0	0	3.5655	6.2674	0	0	0	0	0
TCGA-DX-AB2E-01A-11D-A38Y-01	9.2469	1.8381	12.4082	6.7349	27.8112	3.3542	3.3674	24.232	26.311	4.941	6.1107	0.3159	0	0.8409	0	2.0411	0	0	2.6215	9.0548	1.1882	0
TCGA-DX-A7EQ-11B-01D-A389-01	0	0	0	0	0	0	0	1.9223	0	0	0	3.3037	0	2.8029	0	0	0	0	0	0	0	0
TCGA-DX-A8BO-01A-11D-A416-01	2.9231	13.1165	3.9069	5.6637	0.4951	5.2675	5.2641	8.4255	7.6309	0	9.6978	4.4045	0	1.499	1.933	1.0144	8.5979	7.1693	0.9314	3.3205	0	5.1163
TCGA-IF-A4AK-01A-21D-A24M-01	0	0.2614	0.2684	0	0	0	0.2988	0	0	0	0	0.3776	1.1384	0	0.2573	0	25.9524	0.5368	0	0	0	0.7774
TCGA-DX-A3UA-10A-01D-A306-01	0.967	0	0	0.9514	4.0587	0	0	0	0	0	0	0	0	0	0	3.631	0	0	0	0	0	0
TCGA-DX-AB2J-01A-11D-A386-01	0.5835	0	0	0	0	0	0	0	0	5.7002	0	25.086	0	0	0	0	0	0	0	2.2389	0	0
